customerID,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnRiskScore
7590-VHVEG,0,0,0,0.37154894718448184,2,0,0,1,1,4,0.2620852559561597,0.0030072822587449764,0,0.7034921395882464
5575-GNVDE,0,0,0,0.394069450918332,2,1,0,2,0,3,0.2630204637806134,0.2387880283668648,0,0.3333005927960872
3668-QPYBK,0,0,0,0.4382686894047769,2,1,0,1,0,4,0.35694196025484615,0.07657515600011565,1,0.8125822961306755
7795-CFOCW,0,0,0,0.48228701571695287,2,1,1,2,0,2,0.6088202259844551,0.23283423954532692,0,0.6305267189925761
9237-HQITU,0,0,0,0.2115729196564437,1,0,0,1,0,4,0.48202023828540597,0.02330248212825299,1,2.267552419491805
9305-CDSKC,0,0,0,0.6848654523217124,2,0,0,1,1,4,0.8788552204464766,0.8985088384725283,1,1.281381380956684
1452-KIOVK,0,0,1,0.5840136446315901,1,0,0,1,1,1,0.6558662255367957,0.25112472158111593,0,1.12111269806335
6713-OKOMC,0,1,0,0.26361403226439645,2,1,0,1,0,3,0.3008418338966431,0.03821583106304114,0,1.1369080895757206
7892-POOKP,0,1,0,0.4326870613914008,1,0,0,1,1,4,0.6414274181315642,0.38251097054511524,1,1.479009809685511
6388-TABGU,0,0,1,0.6567016556947609,2,1,0,2,0,2,0.6019398738878065,0.5370724952982301,0,0.457956753967293
9763-GRSKD,0,1,1,0.18804538109041832,2,0,0,1,1,3,0.6141852002094319,0.07099316668815127,0,3.24887705093241
7469-LKBCI,0,0,0,0.4875927853411992,0,0,0,3,0,1,0.41142405197843246,0.040927067239947386,0,0.2810699108136013
8091-TTVAX,0,1,0,0.6523803546949707,2,0,0,2,0,1,0.808576686229759,0.7152294739943593,0,0.6192380276226342
0280-XJGEX,0,0,0,0.6548895702541976,0,0,0,1,0,2,0.7974061020745034,0.5135302220793686,1,1.2157627415320225
